collision_index,vehicle_reference,vehicle_type,age_of_driver,age_of_vehicle
C202602754,2,3,28,5
C202602755,1,19,22,19
C202602755,2,9,30,17
C202602756,1,9,68,5
C202602756,2,3,42,3
C202602757,1,9,59,9
C202602757,2,9,39,8
C202602757,3,9,52,-1
C202602758,1,3,41,14
C202602758,2,5,19,-1
C202602759,1,11,69,-1
C202602759,2,11,70,22
C202602760,1,19,73,-1
C202602761,1,9,47,11
C202602761,2,3,19,9
C202602762,1,3,64,2
C202602763,1,9,17,12
C202602764,1,1,-1,23
C202602764,2,9,75,9
C202602765,1,9,71,20
C202602766,1,9,36,-1
C202602766,2,11,69,12
C202602767,1,5,30,13
C202602767,2,3,22,0
C202602768,1,9,42,22
C202602769,1,3,32,5
C202602769,2,5,31,7
C202602770,1,9,19,13
C202602770,2,11,28,17
C202602771,1,3,43,10
C202602771,2,3,37,23
C202602772,1,11,52,1
C202602773,1,9,57,3
C202602774,1,19,77,-1
C202602774,2,9,73,14
C202602775,1,3,21,8
C202602776,1,3,30,13
C202602776,2,9,79,3
C202602777,1,9,29,22
C202602778,1,11,51,6
C202602778,2,3,52,-1
C202602778,3,3,41,12
C202602779,1,3,37,17
C202602780,1,3,69,4
C202602780,2,3,17,15
C202602781,1,9,68,6
C202602782,1,11,30,23
C202602782,2,9,48,7
C202602782,3,3,72,9
C202602783,1,9,17,0
C202602783,2,9,-1,-1
C202602784,1,11,77,24
C202602785,1,9,56,24
C202602785,2,3,76,3
C202602786,1,5,68,9
C202602786,2,9,74,13
C202602787,1,5,68,4
C202602787,2,9,27,19
C202602788,1,5,55,5
C202602789,1,9,63,4
C202602789,2,3,78,12
C202602790,1,9,52,22
C202602790,2,5,43,14
C202602791,1,11,30,16
C202602791,2,9,58,12
C202602791,3,19,27,-1
C202602792,1,9,25,4
C202602793,1,9,35,5
C202602793,2,19,33,8
C202602794,1,9,34,0
C202602795,1,9,36,17
C202602796,1,11,59,2
C202602796,2,9,22,23
C202602797,1,5,29,-1
C202602797,2,9,32,8
C202602798,1,3,80,3
C202602799,1,11,24,19
C202602799,2,19,77,3
C202602800,1,11,80,24
C202602800,2,9,48,9
C202602800,3,9,70,18
C202602800,4,19,49,14
C202602801,1,9,18,7
C202602801,2,19,64,15
C202602802,1,3,28,14
C202602802,2,9,38,23
C202602803,1,5,42,15
C202602803,2,11,27,5
C202602803,3,3,35,-1
C202602804,1,9,41,11
C202602805,1,19,33,22
C202602805,2,9,36,20
C202602805,3,9,56,5
C202602805,4,9,41,18
C202602806,1,9,46,13
C202602807,1,9,56,23
C202602808,1,9,73,22
C202602808,2,9,37,11
C202602808,3,9,80,8
C202602809,1,19,69,23
C202602810,1,11,64,4
C202602810,2,9,71,4
C202602811,1,11,45,24
C202602811,2,19,29,7
C202602812,1,9,19,0
C202602812,2,9,25,7
C202602812,3,3,43,12
C202602813,1,9,19,23
C202602813,2,11,75,20
C202602814,1,19,63,22
C202602814,2,3,58,5
C202602814,3,9,-1,4
C202602815,1,11,53,8
C202602815,2,5,19,16
C202602816,1,9,40,14
C202602816,2,5,17,22
C202602817,1,1,72,-1
C202602817,2,9,71,18
C202602818,1,3,52,3
C202602819,1,9,78,3
C202602819,2,9,78,16
C202602820,1,11,26,-1
C202602821,1,9,43,3
C202602821,2,9,29,19
C202602822,1,3,34,18
C202602822,2,9,46,-1
C202602823,1,19,77,23
C202602823,2,9,38,19
C202602824,1,9,57,22
C202602824,2,9,66,24
C202602824,3,9,38,8
C202602824,4,9,69,9
C202602825,1,9,84,21
C202602825,2,3,77,22
C202602826,1,9,74,12
C202602826,2,11,64,6
C202602827,1,3,21,15
C202602828,1,9,35,18
C202602828,2,9,19,14
C202602828,3,9,41,15
C202602829,1,5,77,17
C202602829,2,9,55,12
C202602830,1,9,84,18
C202602830,2,9,79,-1
C202602830,3,9,18,6
C202602831,1,5,38,10
C202602832,1,11,29,4
C202602832,2,9,46,6
C202602832,3,11,22,21
C202602833,1,3,62,20
C202602833,2,9,23,12
C202602833,3,19,-1,14
C202602833,4,11,52,10
C202602834,1,19,67,21
C202602834,2,9,46,13
C202602835,1,11,79,-1
C202602835,2,9,24,9
C202602836,1,9,64,23
C202602837,1,19,64,15
C202602838,1,9,45,2
C202602838,2,5,19,7
C202602838,3,5,43,12
C202602838,4,9,81,22
C202602839,1,1,56,0
C202602839,2,19,53,-1
C202602839,3,9,24,20
C202602840,1,5,49,4
C202602840,2,3,25,14
C202602841,1,9,56,23
C202602841,2,9,29,7
C202602842,1,1,27,10
C202602843,1,5,42,2
C202602843,2,11,42,18
C202602844,1,9,77,7
C202602844,2,9,64,24
C202602844,3,9,36,14
C202602845,1,9,28,12
C202602845,2,9,18,1
C202602846,1,9,76,21
C202602846,2,9,40,1
C202602847,1,5,71,-1
C202602847,2,9,-1,3
C202602848,1,9,19,16
C202602848,2,5,63,0
C202602849,1,9,62,10
C202602850,1,9,68,6
C202602851,1,9,56,22
C202602851,2,3,52,2
C202602852,1,9,74,13
C202602852,2,9,33,22
C202602852,3,1,40,13
C202602853,1,19,31,22
C202602853,2,9,71,12
C202602854,1,9,48,-1
C202602854,2,9,-1,6
C202602854,3,9,39,3
C202602854,4,5,75,16
C202602855,1,19,18,-1
C202602855,2,9,29,0
C202602856,1,9,-1,16
C202602856,2,9,46,18
C202602857,1,9,57,-1
C202602857,2,9,67,23
C202602858,1,9,68,6
C202602858,2,11,36,21
C202602859,1,3,72,16
C202602859,2,9,25,24
C202602860,1,3,66,9
C202602861,1,9,48,22
C202602861,2,9,40,19
C202602861,3,11,-1,13
C202602862,1,9,35,13
C202602863,1,9,55,3
C202602863,2,9,27,-1
C202602864,1,9,29,2
C202602865,1,3,44,18
C202602865,2,19,74,20
C202602866,1,9,39,3
C202602867,1,19,70,12
C202602867,2,9,66,-1
C202602867,3,5,65,10
C202602868,1,3,84,2
C202602869,1,11,53,4
C202602869,2,1,49,1
C202602870,1,9,36,2
C202602871,1,9,26,10
C202602871,2,9,49,12
C202602872,1,9,65,3
C202602872,2,1,71,12
C202602873,1,5,40,8
C202602873,2,9,61,8
C202602873,3,3,74,12
C202602874,1,9,58,10
C202602874,2,9,28,11
C202602875,1,9,25,0
C202602875,2,5,49,20
C202602876,1,9,19,10
C202602876,2,9,84,18
C202602877,1,9,33,1
C202602877,2,19,42,1
C202602877,3,19,50,18
C202602878,1,3,20,22
C202602879,1,5,28,1
C202602879,2,9,50,0
C202602880,1,19,59,10
C202602880,2,3,76,1
C202602881,1,9,19,2
C202602882,1,9,28,4
C202602882,2,9,33,16
C202602883,1,3,56,13
C202602883,2,3,79,14
C202602883,3,11,24,24
C202602884,1,9,26,1
C202602884,2,9,49,22
C202602885,1,9,79,18
C202602885,2,9,41,15
C202602886,1,3,67,7
C202602886,2,19,32,11
C202602887,1,5,51,3
C202602887,2,3,79,1
C202602888,1,9,67,22
C202602888,2,11,-1,19
C202602889,1,1,84,13
C202602889,2,9,33,6
C202602890,1,9,40,13
C202602891,1,3,60,2
C202602891,2,5,73,4
C202602892,1,3,58,-1
C202602892,2,3,77,12
C202602893,1,19,77,9
C202602894,1,5,63,22
C202602894,2,5,63,17
C202602895,1,9,24,11
C202602895,2,3,83,8
C202602896,1,9,35,-1
C202602896,2,11,43,10
C202602897,1,9,75,10
C202602897,2,9,44,21
C202602898,1,9,32,3
C202602899,1,9,48,16
C202602899,2,9,36,1
C202602900,1,9,75,-1
C202602901,1,9,41,21
C202602901,2,9,31,-1
C202602901,3,9,51,9
C202602902,1,9,51,14
C202602903,1,5,69,3
C202602904,1,3,50,-1
C202602904,2,9,75,12
C202602905,1,9,47,19
C202602906,1,9,64,15
C202602907,1,9,53,17
C202602908,1,9,81,20
C202602908,2,9,21,23
C202602909,1,9,74,4
C202602910,1,9,71,8
C202602910,2,1,35,2
C202602911,1,9,53,1
C202602911,2,9,72,4
C202602912,1,9,66,13
C202602913,1,9,-1,-1
C202602913,2,11,65,-1
C202602914,1,3,83,-1
C202602914,2,9,39,10
C202602915,1,11,38,12
C202602915,2,9,83,0
C202602915,3,11,50,0
C202602916,1,11,33,12
C202602916,2,9,73,15
C202602917,1,9,57,8
C202602918,1,5,36,15
C202602918,2,5,28,9
C202602918,3,11,28,24
C202602919,1,19,24,-1
C202602919,2,9,47,4
C202602920,1,19,83,24
C202602920,2,1,50,9
C202602921,1,5,82,8
C202602921,2,9,74,0
C202602922,1,9,-1,15
C202602923,1,9,25,15
C202602923,2,11,35,17
C202602924,1,9,75,5
C202602924,2,19,36,22
C202602925,1,9,37,24
C202602926,1,9,56,-1
C202602927,1,9,62,16
C202602927,2,1,64,5
C202602928,1,1,33,8
C202602928,2,9,60,2
C202602929,1,9,54,2
C202602929,2,9,19,2
C202602929,3,9,79,8
C202602930,1,11,49,-1
C202602930,2,9,69,12
C202602930,3,9,77,24
C202602930,4,11,22,12
C202602931,1,3,51,19
C202602931,2,9,20,9
C202602932,1,9,46,-1
C202602932,2,5,26,11
C202602932,3,19,36,0
C202602933,1,9,73,15
C202602933,2,3,21,3
C202602933,3,19,65,2
C202602933,4,11,17,7
C202602934,1,9,49,10
C202602935,1,9,67,15
C202602936,1,9,49,20
C202602936,2,3,29,14
C202602937,1,9,47,1
C202602937,2,3,68,3
C202602938,1,9,38,12
C202602938,2,9,65,-1
C202602938,3,9,37,5
C202602939,1,9,37,15
C202602940,1,9,63,12
C202602940,2,5,22,-1
C202602941,1,9,40,8
C202602942,1,1,27,16
C202602943,1,9,72,20
C202602943,2,19,71,20
C202602944,1,9,74,24
C202602944,2,9,52,21
C202602945,1,9,62,14
C202602945,2,9,25,21
C202602945,3,11,40,6
C202602946,1,9,74,3
C202602946,2,5,28,-1
C202602947,1,19,84,12
C202602948,1,9,75,6
C202602948,2,19,31,14
C202602949,1,9,66,11
C202602949,2,9,43,22
C202602950,1,1,20,22
C202602951,1,19,29,6
C202602951,2,5,50,21
C202602951,3,3,75,4
C202602952,1,5,53,3
C202602952,2,5,77,16
C202602952,3,5,82,20
C202602953,1,5,22,17
C202602953,2,1,58,-1
C202602954,1,9,42,1
C202602954,2,9,65,12
C202602954,3,5,30,14
C202602955,1,19,36,21
C202602956,1,9,62,6
C202602956,2,1,72,2
C202602956,3,9,28,18
C202602956,4,9,28,8
C202602957,1,9,49,10
C202602958,1,1,63,12
C202602959,1,19,73,1
C202602960,1,9,18,9
C202602961,1,3,82,-1
C202602962,1,1,35,22
C202602963,1,11,74,12
C202602964,1,9,44,21
C202602965,1,9,28,19
C202602965,2,9,17,5
C202602966,1,1,74,23
C202602966,2,3,23,18
C202602967,1,1,-1,17
C202602967,2,3,69,19
C202602967,3,3,47,2
C202602967,4,9,27,18
C202602968,1,9,19,-1
C202602968,2,9,39,19
C202602969,1,3,21,17
C202602970,1,19,83,3
C202602971,1,1,82,13
C202602971,2,9,63,15
C202602972,1,9,-1,15
C202602972,2,9,36,9
C202602972,3,9,37,11
C202602973,1,9,57,4
C202602974,1,9,18,22
C202602974,2,9,19,9
C202602975,1,9,75,15
C202602975,2,9,34,24
C202602976,1,11,17,4
C202602976,2,5,22,15
C202602976,3,9,63,13
C202602977,1,9,75,16
C202602978,1,3,18,18
C202602978,2,5,21,15
C202602979,1,11,23,21
C202602980,1,19,24,12
C202602980,2,19,25,3
C202602981,1,9,72,7
C202602982,1,9,31,-1
C202602982,2,9,70,11
C202602983,1,19,44,2
C202602983,2,11,51,24
C202602983,3,3,25,24
C202602984,1,5,31,24
C202602984,2,9,39,6
C202602984,3,9,17,-1
C202602985,1,9,50,1
C202602986,1,9,74,2
C202602987,1,5,74,21
C202602988,1,9,45,-1
C202602989,1,9,33,0
C202602989,2,9,31,5
C202602990,1,1,67,23
C202602991,1,9,79,24
C202602991,2,5,69,5
C202602992,1,9,80,23
C202602992,2,9,82,3
C202602993,1,11,42,14
C202602994,1,9,23,22
C202602994,2,9,46,6
C202602995,1,9,60,4
C202602995,2,9,50,14
C202602996,1,9,53,10
C202602996,2,1,18,21
C202602997,1,1,60,19
C202602998,1,9,72,17
C202602998,2,5,81,5
C202602999,1,9,32,22
C202602999,2,9,82,22
C202603000,1,3,55,14
C202603001,1,1,84,20
C202603001,2,9,60,9
C202603002,1,9,30,23
C202603003,1,9,52,18
C202603003,2,9,73,12
C202603004,1,3,62,3
C202603004,2,9,62,5
C202603005,1,3,54,16
C202603005,2,19,31,23
C202603006,1,5,78,-1
C202603007,1,3,81,21
C202603007,2,5,82,20
C202603007,3,3,59,20
C202603008,1,19,52,15
C202603008,2,9,32,8
C202603008,3,9,45,14
C202603009,1,19,46,15
C202603009,2,9,81,-1
C202603009,3,5,58,22
C202603010,1,9,37,22
C202603010,2,9,52,23
C202603011,1,9,80,6
C202603011,2,9,48,6
C202603012,1,19,46,7
C202603012,2,9,53,7
C202603012,3,9,33,-1
C202603013,1,9,35,5
C202603014,1,9,35,17
C202603014,2,9,33,24
C202603015,1,11,67,0
C202603015,2,1,21,8
C202603016,1,19,67,11
C202603017,1,5,-1,-1
C202603017,2,9,36,7
C202603018,1,5,39,7
C202603018,2,9,44,-1
C202603019,1,9,-1,14
C202603019,2,9,65,5
C202603020,1,9,81,1
C202603020,2,11,80,4
C202603021,1,9,42,0
C202603021,2,11,52,24
C202603022,1,9,17,15
C202603023,1,9,66,19
C202603023,2,1,51,19
C202603023,3,11,47,7
C202603024,1,9,45,17
C202603024,2,19,71,2
C202603025,1,5,24,13
C202603026,1,19,27,7
C202603027,1,9,24,16
C202603027,2,1,35,0
C202603027,3,9,31,13
C202603028,1,1,18,-1
C202603028,2,19,42,1
C202603028,3,19,48,9
C202603028,4,3,36,16
C202603029,1,9,62,9
C202603030,1,9,79,12
C202603030,2,3,82,18
C202603031,1,9,52,20
C202603032,1,9,54,8
C202603033,1,11,42,19
C202603034,1,9,27,22
C202603034,2,5,28,2
C202603035,1,5,57,22
C202603035,2,9,42,2
C202603035,3,9,22,19
C202603036,1,9,39,1
C202603036,2,11,67,-1
C202603037,1,9,50,2
C202603037,2,3,52,20
C202603038,1,5,31,4
C202603038,2,3,78,4
C202603039,1,9,66,21
C202603039,2,9,37,16
C202603040,1,3,-1,14
C202603040,2,5,51,8
C202603041,1,9,39,4
C202603041,2,11,60,4
C202603042,1,19,34,0
C202603043,1,9,-1,24
C202603043,2,9,51,13
C202603044,1,9,29,7
C202603044,2,9,27,0
C202603045,1,19,36,10
C202603045,2,9,64,10
C202603046,1,9,81,13
C202603046,2,9,44,4
C202603047,1,19,43,20
C202603047,2,3,46,1
C202603047,3,9,27,19
C202603048,1,11,67,20
C202603048,2,11,30,8
C202603049,1,5,51,12
C202603050,1,9,74,14
C202603050,2,5,62,13
C202603050,3,9,47,13
C202603051,1,9,27,10
C202603052,1,9,37,6
C202603052,2,9,81,18
C202603053,1,5,27,18
C202603053,2,9,30,3
C202603054,1,11,21,1
C202603054,2,19,67,12
C202603055,1,9,36,5
C202603056,1,9,55,13
C202603056,2,3,35,4
C202603057,1,5,67,7
C202603057,2,9,20,20
C202603058,1,9,-1,23
C202603058,2,11,56,-1
C202603059,1,5,82,7
C202603059,2,9,55,20
C202603059,3,9,80,18
C202603059,4,9,53,-1
C202603060,1,3,58,21
C202603060,2,9,33,5
C202603061,1,9,73,0
C202603061,2,9,82,1
C202603062,1,9,68,1
C202603063,1,9,74,12
C202603063,2,3,76,16
C202603064,1,9,62,14
C202603064,2,9,43,-1
C202603065,1,9,40,7
C202603065,2,5,33,6
C202603066,1,19,18,18
C202603066,2,9,74,6
C202603067,1,11,22,20
C202603067,2,9,81,11
C202603068,1,9,46,0
C202603069,1,9,57,13
C202603069,2,3,48,1
C202603070,1,9,46,18
C202603071,1,19,74,13
C202603071,2,19,53,10
C202603071,3,5,46,9
C202603072,1,1,48,13
C202603072,2,11,30,-1
C202603072,3,11,65,24
C202603072,4,9,47,10
C202603073,1,9,77,16
C202603073,2,19,81,8
C202603074,1,1,71,14
C202603074,2,3,31,24
C202603075,1,9,33,8
C202603075,2,1,30,20
C202603076,1,9,46,2
C202603076,2,5,28,20
C202603077,1,3,39,16
C202603077,2,9,45,4
C202603078,1,3,67,20
C202603078,2,9,27,5
C202603078,3,11,82,11
C202603078,4,11,75,2
C202603079,1,19,75,10
C202603079,2,9,25,13
C202603080,1,19,67,21
C202603080,2,3,25,6
C202603081,1,1,33,22
C202603081,2,11,51,24
C202603082,1,9,18,23
C202603082,2,11,46,6
C202603082,3,9,22,5
C202603082,4,9,62,4
C202603083,1,9,59,22
C202603083,2,9,60,18
C202603083,3,9,21,-1
C202603084,1,9,63,15
C202603084,2,9,80,0
C202603085,1,9,67,2
C202603086,1,9,58,19
C202603086,2,11,61,14
C202603086,3,11,83,1
C202603086,4,9,80,0
C202603087,1,9,76,24
C202603088,1,9,41,9
C202603088,2,9,65,6
C202603089,1,5,21,15
C202603090,1,5,41,15
C202603090,2,19,27,8
C202603091,1,9,34,11
C202603091,2,19,71,3
C202603092,1,9,70,19
C202603093,1,9,71,19
C202603094,1,9,20,15
C202603094,2,1,68,24
C202603095,1,9,57,24
C202603096,1,5,26,23
C202603096,2,9,31,7
C202603097,1,5,73,11
C202603098,1,5,18,9
C202603099,1,5,31,20
C202603100,1,9,23,7
C202603101,1,11,79,7
C202603101,2,9,18,6
C202603102,1,9,82,19
C202603102,2,9,70,8
C202603103,1,9,83,18
C202603103,2,9,40,20
C202603104,1,9,46,9
C202603104,2,9,51,7
C202603104,3,11,48,5
C202603105,1,9,46,0
C202603106,1,11,65,18
C202603107,1,9,51,-1
C202603107,2,1,58,11
C202603107,3,9,72,16
C202603107,4,9,76,7
C202603108,1,9,80,12
C202603108,2,9,70,16
C202603109,1,9,40,14
C202603109,2,11,78,18
C202603109,3,9,56,20
C202603109,4,9,71,15
C202603110,1,3,17,2
C202603110,2,9,23,-1
C202603111,1,9,59,10
C202603111,2,9,60,9
C202603112,1,9,64,24
C202603112,2,9,22,18
C202603113,1,9,27,9
C202603114,1,9,28,6
C202603114,2,19,49,9
C202603115,1,19,84,0
C202603115,2,9,77,6
C202603115,3,3,84,14
C202603116,1,3,65,7
C202603116,2,11,42,12
C202603117,1,9,81,-1
C202603117,2,9,50,1
C202603118,1,5,41,23
C202603119,1,5,51,7
C202603119,2,11,75,12
C202603120,1,9,52,18
C202603121,1,9,24,16
C202603121,2,9,71,23
C202603121,3,9,61,8
C202603122,1,11,25,15
C202603122,2,9,18,20
C202603123,1,19,22,21
C202603123,2,9,65,21
C202603124,1,3,81,10
C202603124,2,3,27,19
C202603125,1,11,69,18
C202603126,1,9,32,16
C202603127,1,9,44,23
C202603128,1,3,35,23
C202603129,1,9,77,19
C202603129,2,9,45,5
C202603130,1,9,74,6
C202603131,1,9,77,21
C202603132,1,9,79,0
C202603132,2,9,43,15
C202603133,1,9,71,6
C202603134,1,9,77,6
C202603134,2,9,-1,8
C202603134,3,9,75,9
C202603135,1,19,69,2
C202603135,2,9,23,18
C202603136,1,9,54,2
C202603136,2,9,72,23
C202603137,1,9,31,15
C202603138,1,9,49,23
C202603138,2,9,-1,10
C202603139,1,9,30,1
C202603140,1,9,24,19
C202603141,1,9,60,-1
C202603141,2,19,61,13
C202603142,1,9,37,-1
C202603142,2,9,50,5
C202603143,1,9,31,20
C202603144,1,11,35,9
C202603145,1,5,29,21
C202603145,2,9,34,2
C202603146,1,3,58,-1
C202603146,2,19,39,18
C202603146,3,9,36,8
C202603147,1,5,64,6
C202603147,2,11,19,17
C202603148,1,9,61,13
C202603149,1,11,46,12
C202603150,1,11,40,16
C202603150,2,9,57,3
C202603151,1,9,29,16
C202603151,2,9,47,7
C202603152,1,9,49,12
C202603153,1,1,46,6
C202603153,2,9,77,3
C202603153,3,19,22,13
C202603154,1,9,28,12
C202603155,1,9,24,19
C202603155,2,9,79,8
C202603155,3,9,72,23
C202603156,1,5,69,7
C202603156,2,9,59,22
C202603156,3,9,52,24
C202603157,1,3,75,11
C202603157,2,9,70,9
C202603158,1,3,23,5
C202603158,2,9,78,23
C202603158,3,9,51,17
C202603159,1,3,78,18
C202603160,1,5,65,2
C202603160,2,9,81,15
C202603161,1,19,84,16
C202603161,2,9,61,14
C202603161,3,9,66,5
C202603162,1,9,27,0
C202603163,1,9,47,10
C202603163,2,3,64,4
C202603164,1,9,69,6
C202603164,2,9,80,19
C202603165,1,5,20,12
C202603165,2,11,74,-1
C202603166,1,9,40,11
C202603166,2,9,60,8
C202603166,3,9,39,19
C202603166,4,11,61,23
C202603167,1,5,62,17
C202603167,2,9,54,-1
C202603168,1,11,80,15
C202603169,1,9,51,16
C202603169,2,9,45,14
C202603170,1,9,57,13
C202603170,2,11,65,-1
C202603171,1,9,31,14
C202603171,2,11,42,15
C202603172,1,9,36,3
C202603172,2,9,45,2
C202603172,3,9,66,9
C202603173,1,5,68,5
C202603173,2,9,46,19
C202603174,1,19,21,13
C202603175,1,9,44,1
C202603176,1,9,56,16
C202603177,1,1,65,17
C202603178,1,9,20,2
C202603178,2,9,84,12
C202603179,1,9,19,3
C202603179,2,5,71,21
C202603179,3,9,49,13
C202603179,4,19,64,4
C202603180,1,11,78,13
C202603180,2,9,28,12
C202603180,3,9,46,20
C202603180,4,5,74,21
C202603181,1,9,24,8
C202603181,2,9,73,8
C202603182,1,1,23,7
C202603182,2,9,17,20
C202603183,1,9,22,-1
C202603183,2,3,81,21
C202603183,3,3,36,5
C202603184,1,9,79,10
C202603184,2,9,53,9
C202603185,1,9,17,23
C202603186,1,19,82,18
C202603186,2,9,34,-1
C202603187,1,9,31,11
C202603187,2,9,22,10
C202603187,3,9,68,6
C202603187,4,9,67,15
C202603188,1,9,29,0
C202603189,1,3,22,12
C202603189,2,11,53,12
C202603190,1,19,20,21
C202603190,2,9,82,-1
C202603191,1,9,61,5
C202603191,2,9,80,12
C202603192,1,1,49,6
C202603193,1,19,70,20
C202603193,2,19,50,-1
C202603194,1,9,19,19
C202603194,2,9,58,14
C202603195,1,3,80,10
C202603195,2,9,70,4
C202603196,1,19,24,5
C202603197,1,5,65,15
C202603197,2,9,84,18
C202603198,1,9,50,-1
C202603198,2,9,82,10
C202603199,1,9,34,6
C202603199,2,9,23,24
C202603200,1,9,41,12
C202603200,2,9,67,-1
C202603201,1,11,30,7
C202603201,2,9,45,14
C202603202,1,9,44,20
C202603202,2,9,36,-1
C202603203,1,9,58,11
C202603203,2,9,-1,20
C202603204,1,9,21,20
C202603205,1,11,76,9
C202603205,2,19,55,22
C202603206,1,9,58,22
C202603207,1,3,84,19
C202603207,2,9,56,22
C202603208,1,9,35,18
C202603208,2,9,32,13
C202603209,1,19,48,16
C202603209,2,19,28,-1
C202603210,1,9,55,2
C202603211,1,11,29,7
C202603212,1,9,84,12
C202603212,2,1,48,22
C202603213,1,5,57,22
C202603213,2,9,72,11
C202603214,1,11,56,9
C202603214,2,9,67,20
C202603215,1,3,70,-1
C202603215,2,1,38,23
C202603216,1,11,67,-1
C202603216,2,9,36,13
C202603217,1,9,82,-1
C202603217,2,9,84,7
C202603217,3,3,71,22
C202603217,4,9,57,12
C202603218,1,9,33,15
C202603218,2,5,69,0
C202603219,1,9,62,2
C202603219,2,11,64,0
C202603220,1,19,-1,21
C202603220,2,3,68,1
C202603221,1,9,46,12
C202603221,2,9,78,23
C202603222,1,11,57,-1
C202603223,1,9,52,18
C202603223,2,9,65,22
C202603224,1,5,73,17
C202603225,1,9,32,17
C202603226,1,11,61,23
C202603226,2,3,27,2
C202603227,1,9,52,19
C202603227,2,9,34,24
C202603228,1,9,22,16
C202603228,2,9,69,8
C202603229,1,3,54,21
C202603229,2,1,37,17
C202603230,1,3,33,4
C202603230,2,11,17,13
C202603230,3,9,53,12
C202603230,4,9,53,2
C202603231,1,11,72,3
C202603231,2,5,51,18
C202603232,1,3,80,8
C202603232,2,9,32,16
C202603233,1,9,49,18
C202603234,1,19,77,1
C202603234,2,9,62,23
C202603235,1,19,-1,10
C202603235,2,19,44,17
C202603235,3,19,63,21
C202603236,1,1,61,11
C202603237,1,9,34,11
C202603237,2,9,30,19
C202603238,1,9,55,22
C202603238,2,9,17,0
C202603239,1,9,17,6
C202603239,2,11,69,10
C202603240,1,3,80,14
C202603241,1,9,79,8
C202603242,1,9,77,8
C202603242,2,11,55,24
C202603242,3,9,17,22
C202603243,1,9,39,2
C202603243,2,9,25,19
C202603244,1,3,50,23
C202603244,2,9,38,8
C202603245,1,19,79,24
C202603246,1,11,48,22
C202603246,2,9,60,-1
C202603247,1,9,53,4
C202603248,1,9,69,10
C202603248,2,9,79,0
C202603249,1,9,75,23
C202603249,2,1,44,11
C202603250,1,9,23,11
C202603250,2,9,64,4
C202603250,3,19,78,11
C202603251,1,11,32,0
C202603252,1,1,35,13
C202603252,2,9,79,6
C202603253,1,3,54,7
C202603253,2,9,66,-1
C202603254,1,9,23,22
C202603254,2,9,37,20
C202603255,1,9,29,24
C202603255,2,9,52,21
C202603255,3,1,47,8
C202603256,1,19,78,19
C202603256,2,11,23,18
C202603257,1,19,22,10
C202603257,2,9,75,23
C202603258,1,3,24,12
C202603258,2,3,49,24
C202603259,1,9,74,-1
C202603259,2,9,59,24
C202603260,1,9,52,14
C202603260,2,19,37,13
C202603261,1,9,72,16
C202603262,1,9,59,6
C202603263,1,9,55,1
C202603263,2,9,66,19
C202603264,1,9,17,24
C202603264,2,3,84,8
C202603264,3,9,53,18
C202603265,1,9,71,17
C202603266,1,9,32,18
C202603267,1,5,21,11
C202603267,2,19,17,18
C202603268,1,9,79,-1
C202603268,2,11,65,12
C202603269,1,9,38,-1
C202603270,1,9,64,22
C202603270,2,5,75,20
C202603270,3,11,71,11
C202603271,1,9,49,-1
C202603271,2,9,24,13
C202603272,1,9,32,22
C202603272,2,3,26,11
C202603273,1,5,73,1
C202603273,2,9,50,14
C202603273,3,9,17,-1
C202603274,1,9,74,16
C202603274,2,9,33,1
C202603275,1,19,47,24
C202603275,2,11,82,22
C202603276,1,11,84,19
C202603276,2,5,40,-1
C202603277,1,5,78,6
C202603278,1,9,67,14
C202603278,2,3,40,19
C202603279,1,9,74,13
C202603279,2,5,83,20
C202603280,1,5,44,8
C202603280,2,9,28,8
C202603280,3,1,-1,19
C202603281,1,1,58,3
C202603281,2,3,17,6
C202603282,1,1,57,4
C202603283,1,9,44,8
C202603283,2,3,35,-1
C202603284,1,3,81,3
C202603284,2,19,72,21
C202603285,1,9,73,2
C202603285,2,3,25,16
C202603285,3,9,65,-1
C202603285,4,9,79,2
C202603286,1,9,56,8
C202603286,2,3,55,12
C202603287,1,3,46,14
C202603287,2,5,32,13
C202603287,3,9,39,21
C202603288,1,5,46,18
C202603288,2,11,59,1
C202603289,1,9,57,2
C202603290,1,11,51,10
C202603291,1,11,40,-1
C202603291,2,9,67,11
C202603292,1,9,33,21
C202603292,2,19,66,23
C202603293,1,1,62,20
C202603293,2,9,24,13
C202603293,3,9,47,10
C202603294,1,3,43,22
C202603294,2,9,25,14
C202603294,3,9,23,18
C202603295,1,9,77,16
C202603295,2,3,47,8
C202603296,1,19,82,1
C202603296,2,19,45,7
C202603297,1,11,36,9
C202603298,1,9,72,22
C202603299,1,9,59,22
C202603299,2,5,48,1
C202603300,1,11,36,4
C202603300,2,5,53,18
C202603301,1,9,-1,15
C202603301,2,9,28,15
C202603302,1,9,80,4
C202603302,2,5,64,19
C202603303,1,5,78,17
C202603303,2,19,69,15
C202603304,1,9,22,7
C202603305,1,9,83,5
C202603306,1,9,38,2
C202603306,2,11,82,24
C202603307,1,1,61,13
C202603307,2,5,44,20
C202603308,1,9,82,13
C202603308,2,5,74,12
C202603309,1,11,50,8
C202603309,2,11,31,3
C202603310,1,3,55,7
C202603310,2,3,31,14
C202603311,1,5,23,16
C202603311,2,9,24,14
C202603311,3,9,69,12
C202603312,1,9,44,12
C202603312,2,9,29,24
